2026-03-24 13:35:09,893 | INFO | functions.scan_input_folder | Found CSV files in input folder: ['timezone.csv', 'day.csv', 'month.csv', 'sample.csv', 'jonas.csv', 'year-future.csv']
2026-03-24 13:35:09,893 | INFO | __main__ | Processing CSV files
2026-03-24 13:35:09,900 | INFO | functions.auto_process_all_csv | Processed timezone.csv to processed_timezone.csv (481 rows, 0 removed)
2026-03-24 13:35:09,903 | INFO | functions.auto_process_all_csv | Processed day.csv to processed_day.csv (31 rows, 0 removed)
2026-03-24 13:35:09,906 | INFO | functions.auto_process_all_csv | Processed month.csv to processed_month.csv (12 rows, 0 removed)
2026-03-24 13:35:09,909 | INFO | functions.auto_process_all_csv | Processed sample.csv to processed_sample.csv (5 rows, 3 removed)
2026-03-24 13:35:09,912 | INFO | functions.auto_process_all_csv | Processed jonas.csv to processed_jonas.csv (5 rows, 1 removed)
2026-03-24 13:35:09,914 | INFO | functions.auto_process_all_csv | Processed year-future.csv to processed_year-future.csv (101 rows, 0 removed)
2026-03-24 13:35:09,914 | INFO | __main__ | Versioning output files
2026-03-24 13:35:09,914 | INFO | functions.version_output_files | Versioned processed_timezone.csv to timezone_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | functions.version_output_files | Versioned processed_day.csv to day_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | functions.version_output_files | Versioned processed_month.csv to month_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | functions.version_output_files | Versioned processed_sample.csv to sample_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | functions.version_output_files | Versioned processed_jonas.csv to jonas_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | functions.version_output_files | Versioned processed_year-future.csv to year-future_20260324_133509.csv
2026-03-24 13:35:09,915 | INFO | __main__ | Comparing expected vs actual
2026-03-24 13:35:09,917 | INFO | functions.compare_expected_vs_actual | timezone.csv: 481 rows preserved
2026-03-24 13:35:09,918 | INFO | functions.compare_expected_vs_actual | timezone.csv: Processing metadata added
2026-03-24 13:35:09,919 | INFO | functions.compare_expected_vs_actual | day.csv: 31 rows preserved
2026-03-24 13:35:09,919 | INFO | functions.compare_expected_vs_actual | day.csv: Processing metadata added
